season,state,zone,climate,population,total_cases,total_hospitalizations,total_deaths,peak_weekly_cases,attack_rate_pct,cum_cases_per_100k,cum_deaths_per_100k,cfr_pct,peak_epi_week,peak_week_start
2023/2024,Abia,SE,tropical,4841943,388719,6297,430,93217,8.03,8028.2,8.88,0.111,13,2023-09-25
2023/2024,Adamawa,NE,savanna,5236948,402559,5011,597,82507,7.69,7686.9,11.4,0.148,15,2023-10-09
2023/2024,Akwa Ibom,SS,tropical,5780581,399395,7628,645,73912,6.91,6909.3,11.16,0.161,13,2023-09-25
2023/2024,Anambra,SE,tropical,7299910,612756,9559,755,155728,8.39,8394.0,10.34,0.123,14,2023-10-02
2023/2024,Bauchi,NE,sahel,7540663,490279,7475,1011,78362,6.5,6501.8,13.41,0.206,18,2023-10-30
2023/2024,Bayelsa,SS,tropical,2394725,175831,2762,236,48436,7.34,7342.4,9.85,0.134,14,2023-10-02
2023/2024,Benue,NC,savanna,6687706,584246,7530,869,127974,8.74,8736.1,12.99,0.149,14,2023-10-02
2023/2024,Borno,NE,sahel,6651590,511468,5866,930,92308,7.69,7689.4,13.98,0.182,18,2023-10-30
2023/2024,Cross River,SS,tropical,4175020,287520,6328,385,63805,6.89,6886.7,9.22,0.134,14,2023-10-02
2023/2024,Delta,SS,tropical,6107543,443703,7967,535,101193,7.26,7264.8,8.76,0.121,14,2023-10-02
2023/2024,Ebonyi,SE,tropical,4007155,265285,5771,379,60823,6.62,6620.3,9.46,0.143,13,2023-09-25
2023/2024,Edo,SS,tropical,5527810,444188,6791,506,96752,8.04,8035.5,9.15,0.114,15,2023-10-09
2023/2024,Ekiti,SW,tropical,3398177,309746,4390,283,69701,9.12,9115.1,8.33,0.091,15,2023-10-09
2023/2024,Enugu,SE,tropical,5396098,428442,7489,520,86255,7.94,7939.8,9.64,0.121,13,2023-09-25
2023/2024,FCT,NC,savanna,4802443,385077,7441,318,110117,8.02,8018.4,6.62,0.083,15,2023-10-09
2023/2024,Gombe,NE,sahel,4623462,322187,4478,631,54575,6.97,6968.5,13.65,0.196,17,2023-10-23
2023/2024,Imo,SE,tropical,6067722,487858,7746,604,138208,8.04,8040.2,9.95,0.124,14,2023-10-02
2023/2024,Jigawa,NW,sahel,6979080,538987,6388,985,110634,7.72,7722.9,14.11,0.183,16,2023-10-16
2023/2024,Kaduna,NW,savanna,8324285,571574,10623,914,117382,6.87,6866.3,10.98,0.16,16,2023-10-16
2023/2024,Kano,NW,sahel,16253549,1070217,17520,1800,155414,6.58,6584.5,11.07,0.168,16,2023-10-16
2023/2024,Katsina,NW,sahel,9300382,739208,8098,1211,231066,7.95,7948.1,13.02,0.164,16,2023-10-16
2023/2024,Kebbi,NW,sahel,6001610,420794,4684,649,77173,7.01,7011.4,10.81,0.154,16,2023-10-16
2023/2024,Kogi,NC,savanna,5053734,389277,4778,579,75191,7.7,7702.8,11.46,0.149,16,2023-10-16
2023/2024,Kwara,NC,savanna,4259613,301432,4752,442,63902,7.08,7076.5,10.38,0.147,14,2023-10-02
2023/2024,Lagos,SW,tropical,15772884,1182565,22660,1010,335285,7.5,7497.5,6.4,0.085,13,2023-09-25
2023/2024,Nasarawa,NC,savanna,3632239,310071,3749,371,86983,8.54,8536.6,10.21,0.12,14,2023-10-02
2023/2024,Niger,NC,savanna,6720617,488049,7187,696,95622,7.26,7262.0,10.36,0.143,15,2023-10-09
2023/2024,Ogun,SW,tropical,6445275,440935,8563,633,81671,6.84,6841.2,9.82,0.144,14,2023-10-02
2023/2024,Ondo,SW,tropical,5469707,389709,7750,533,79988,7.12,7124.9,9.74,0.137,13,2023-09-25
2023/2024,Osun,SW,tropical,4237396,296951,4811,453,66834,7.01,7007.9,10.69,0.153,15,2023-10-09
2023/2024,Oyo,SW,tropical,7512855,546829,10454,761,133248,7.28,7278.6,10.13,0.139,14,2023-10-02
2023/2024,Plateau,NC,savanna,5400974,385888,6366,575,84006,7.14,7144.8,10.65,0.149,15,2023-10-09
2023/2024,Rivers,SS,tropical,7234973,578030,10488,651,150163,7.99,7989.4,9.0,0.113,14,2023-10-02
2023/2024,Sokoto,NW,sahel,6163187,463591,5904,755,83221,7.52,7521.9,12.25,0.163,16,2023-10-16
2023/2024,Taraba,NE,savanna,4331885,345387,4306,518,76731,7.97,7973.1,11.96,0.15,16,2023-10-16
2023/2024,Yobe,NE,sahel,4350401,318681,3585,588,49113,7.33,7325.3,13.52,0.185,16,2023-10-16
2023/2024,Zamfara,NW,sahel,5517793,397701,4392,685,70723,7.21,7207.6,12.41,0.172,18,2023-10-30
2024/2025,Abia,SE,tropical,4841943,648127,9849,625,176783,13.39,13385.7,12.91,0.096,15,2024-10-07
2024/2025,Adamawa,NE,savanna,5236948,720134,10025,1136,149096,13.75,13751.0,21.69,0.158,16,2024-10-14
2024/2025,Akwa Ibom,SS,tropical,5780581,726214,12287,994,150885,12.56,12563.0,17.2,0.137,15,2024-10-07
2024/2025,Anambra,SE,tropical,7299910,950022,17086,893,200357,13.01,13014.2,12.23,0.094,16,2024-10-14
2024/2025,Bauchi,NE,sahel,7540663,1028620,11957,1742,175420,13.64,13641.0,23.1,0.169,19,2024-11-04
2024/2025,Bayelsa,SS,tropical,2394725,260103,5038,456,66034,10.86,10861.5,19.04,0.175,15,2024-10-07
2024/2025,Benue,NC,savanna,6687706,950113,12709,1337,149290,14.21,14206.9,19.99,0.141,16,2024-10-14
2024/2025,Borno,NE,sahel,6651590,866517,9121,1692,156364,13.03,13027.2,25.44,0.195,18,2024-10-28
2024/2025,Cross River,SS,tropical,4175020,495303,7639,825,98026,11.86,11863.5,19.76,0.167,15,2024-10-07
2024/2025,Delta,SS,tropical,6107543,878861,12197,775,233180,14.39,14389.8,12.69,0.088,16,2024-10-14
2024/2025,Ebonyi,SE,tropical,4007155,515197,9345,771,152848,12.86,12856.9,19.24,0.15,15,2024-10-07
2024/2025,Edo,SS,tropical,5527810,778209,13476,810,181546,14.08,14078.1,14.65,0.104,15,2024-10-07
2024/2025,Ekiti,SW,tropical,3398177,457099,7734,469,103515,13.45,13451.3,13.8,0.103,15,2024-10-07
2024/2025,Enugu,SE,tropical,5396098,692372,11770,781,171893,12.83,12831.0,14.47,0.113,16,2024-10-14
2024/2025,FCT,NC,savanna,4802443,695256,11336,571,103867,14.48,14477.1,11.89,0.082,17,2024-10-21
2024/2025,Gombe,NE,sahel,4623462,694455,8575,1053,106489,15.02,15020.2,22.78,0.152,18,2024-10-28
2024/2025,Imo,SE,tropical,6067722,945773,14013,957,224951,15.59,15587.0,15.77,0.101,16,2024-10-14
2024/2025,Jigawa,NW,sahel,6979080,1096859,11097,1686,172500,15.72,15716.4,24.16,0.154,19,2024-11-04
2024/2025,Kaduna,NW,savanna,8324285,1257124,14833,1515,216291,15.1,15101.9,18.2,0.121,16,2024-10-14
2024/2025,Kano,NW,sahel,16253549,2129794,27896,2990,367044,13.1,13103.6,18.4,0.14,29,2025-01-13
2024/2025,Katsina,NW,sahel,9300382,1258650,14513,2185,201423,13.53,13533.3,23.49,0.174,29,2025-01-13
2024/2025,Kebbi,NW,sahel,6001610,792780,10766,1824,131620,13.21,13209.5,30.39,0.23,18,2024-10-28
2024/2025,Kogi,NC,savanna,5053734,711467,10362,849,152497,14.08,14078.0,16.8,0.119,16,2024-10-14
2024/2025,Kwara,NC,savanna,4259613,555119,8141,702,114192,13.03,13032.1,16.48,0.126,16,2024-10-14
2024/2025,Lagos,SW,tropical,15772884,1755373,43717,1608,367736,11.13,11129.1,10.19,0.092,15,2024-10-07
2024/2025,Nasarawa,NC,savanna,3632239,434252,7380,798,79237,11.96,11955.5,21.97,0.184,17,2024-10-21
2024/2025,Niger,NC,savanna,6720617,954066,12411,1233,162439,14.2,14196.1,18.35,0.129,16,2024-10-14
2024/2025,Ogun,SW,tropical,6445275,966710,14417,1010,275308,15.0,14998.7,15.67,0.104,15,2024-10-07
2024/2025,Ondo,SW,tropical,5469707,765742,12977,874,193379,14.0,13999.7,15.98,0.114,15,2024-10-07
2024/2025,Osun,SW,tropical,4237396,654453,8926,679,162563,15.44,15444.7,16.02,0.104,15,2024-10-07
2024/2025,Oyo,SW,tropical,7512855,1347209,16212,1245,455401,17.93,17932.1,16.57,0.092,15,2024-10-07
2024/2025,Plateau,NC,savanna,5400974,789135,10845,1040,139082,14.61,14611.0,19.26,0.132,17,2024-10-21
2024/2025,Rivers,SS,tropical,7234973,1045651,15158,1109,291715,14.45,14452.7,15.33,0.106,15,2024-10-07
2024/2025,Sokoto,NW,sahel,6163187,786556,10633,1489,136477,12.76,12762.2,24.16,0.189,19,2024-11-04
2024/2025,Taraba,NE,savanna,4331885,510666,6332,1158,84342,11.79,11788.5,26.73,0.227,29,2025-01-13
2024/2025,Yobe,NE,sahel,4350401,576965,7084,1112,93618,13.26,13262.3,25.56,0.193,18,2024-10-28
2024/2025,Zamfara,NW,sahel,5517793,725445,7700,1419,94253,13.15,13147.4,25.72,0.196,17,2024-10-21
2025/2026,Abia,SE,tropical,4841943,531022,7554,676,134296,10.97,10967.1,13.96,0.127,16,2025-10-13
2025/2026,Adamawa,NE,savanna,5236948,501318,6840,814,102301,9.57,9572.7,15.54,0.162,17,2025-10-20
