level,group,target,week,mean,p05,p25,p50,p75,p95
national,Nigeria,cases,1,58960.01637803093,13993.973560062923,20450.456547774873,37569.63097918194,82309.84581236675,159750.5912317966
national,Nigeria,hospitalizations,1,904.6763220540222,233.32963708287915,329.0187863566081,571.5657618288194,1230.4481290267504,2565.9849670616222
national,Nigeria,deaths,1,85.44707533716323,23.787181962340544,26.600092725479936,49.445749003488174,96.71173703200097,267.6320385328225
national,Nigeria,cases,2,54328.99228321393,16189.200564949913,21601.933965891847,34516.45295850415,73433.68619678538,141368.59222054778
national,Nigeria,hospitalizations,2,779.2391687112616,255.98188639717395,318.5995581743335,513.8377234823827,1041.2412759853069,2058.078384728128
national,Nigeria,deaths,2,81.19568387204976,21.650101144752856,26.81198097542823,46.14707749572145,97.51214061156327,228.53518731023496
national,Nigeria,cases,3,44138.967979235604,11007.463792343573,15505.398632766248,29200.659021297288,61446.11153321674,116113.50206969352
national,Nigeria,hospitalizations,3,630.170419512223,149.6102041743676,224.0394824104861,418.5620490847791,856.5909199236876,1703.4536122132017
national,Nigeria,deaths,3,68.38308929270701,17.894565989484764,22.72629382730583,39.658790408618074,79.46469830157174,214.17746630242013
national,Nigeria,cases,4,38058.89922114807,10036.246904924728,14049.426012935986,25200.567895709173,54323.088920351365,98720.46164600656
national,Nigeria,hospitalizations,4,581.9604179846617,156.15475404886453,207.27100349367382,354.3845541129601,748.3494741320312,1733.1405888501915
national,Nigeria,deaths,4,65.95096047155253,20.162018191092947,21.310719970485184,35.11392278791206,79.70740922826093,201.96833359114217
national,Nigeria,cases,5,38062.49912991327,10382.18851579785,13928.145488672257,23858.353520455254,52268.061491609515,102001.85672991464
national,Nigeria,hospitalizations,5,519.6176111228987,148.17042744628847,191.63016773050754,340.97999655669304,745.2451005440333,1403.7184603482576
national,Nigeria,deaths,5,54.788456605268884,15.423848492030528,16.732737747295403,32.644045730169964,67.6321300814041,162.0893735357761
national,Nigeria,cases,6,38456.5254238048,10755.810109277447,14522.011854655477,24821.52414384151,52279.81619770876,97069.68424227073
national,Nigeria,hospitalizations,6,565.2101588264321,139.48574097589716,193.17591483074077,365.1403809704019,752.0420233391595,1612.6386847897095
national,Nigeria,deaths,6,62.141467182804064,16.59502685313088,17.16887991941788,32.37355770188005,73.50871653909422,206.6913650268684
national,Nigeria,cases,7,43449.7268695088,13526.129239092204,18025.851507842108,27901.450853164817,60680.47091825858,105251.16904880267
national,Nigeria,hospitalizations,7,670.3388738232045,174.34893782089296,242.39438883242704,418.40207122345834,951.3055055650266,1768.5451912840879
national,Nigeria,deaths,7,67.44626649713142,18.079224433335522,18.868143362251423,36.04497130448283,73.12981949703938,222.81035043008958
national,Nigeria,cases,8,55811.12809986286,14697.22972103548,20300.581470602534,35254.57372256342,73982.08158563002,167681.55244533776
national,Nigeria,hospitalizations,8,819.7570588709582,228.65191387155897,301.63648494124044,532.2042661834666,1144.1745307393207,2241.881130844198
national,Nigeria,deaths,8,76.60118799097751,23.498036657886328,25.329149549530793,43.08829841938071,93.20027787852507,238.53757100446327
national,Nigeria,cases,9,81411.58693403879,22048.99860484735,29282.470798848106,52462.6058604086,115485.54474002635,219792.28553906002
national,Nigeria,hospitalizations,9,1232.9000827726652,322.52627176832385,462.82630904608715,783.4311955517771,1630.9329501255893,3247.8574770231744
national,Nigeria,deaths,9,105.4359458111168,26.311136827341922,31.65924394137868,67.84457111621039,131.5502275352825,329.14116087330063
national,Nigeria,cases,10,138102.89736272587,37260.646499663126,50214.21724252739,90238.51464239188,196490.40974079457,364524.4343227401
national,Nigeria,hospitalizations,10,1992.5429770678427,473.7772786436128,697.7793204235157,1330.4695778421033,2711.275449840493,5333.418869154368
national,Nigeria,deaths,10,158.15307801132,36.97694285849876,60.92140782746265,116.37531705152671,210.21391495727966,427.7280687252631
national,Nigeria,cases,11,292533.9640531885,75833.16449347769,104934.08783532956,190795.71630243008,396664.5509016355,775649.4548637489
national,Nigeria,hospitalizations,11,4301.376488645224,1122.0850418405785,1568.0531367228368,2879.5935285252,5796.8029428242735,11739.16024774958
national,Nigeria,deaths,11,288.8967141460806,68.56265596909886,126.73355998801657,215.7930060404371,372.37075087513915,701.9302173174442
national,Nigeria,cases,12,865437.5399700141,231647.43730703765,316490.9689807454,554722.310248661,1233580.4461517816,2244661.1067451527
national,Nigeria,hospitalizations,12,11684.34426713779,3148.6432105307213,4482.466044096256,7771.754806484114,15610.04654390188,30394.557657596473
national,Nigeria,deaths,12,758.8384091852291,181.48599367878606,329.17954561025414,563.1808311585726,924.3702491506142,2056.065869320176
national,Nigeria,cases,13,2169789.974574357,670748.9493154283,869281.3599134603,1352011.8417736855,2936021.595848179,5708730.309275816
