state,population,zone,climate,hc_access
Kano,16253549,NW,sahel,0.55
Lagos,15772884,SW,tropical,0.9
Katsina,9300382,NW,sahel,0.42
Kaduna,8324285,NW,savanna,0.6
Bauchi,7540663,NE,sahel,0.4
Oyo,7512855,SW,tropical,0.72
Anambra,7299910,SE,tropical,0.74
Rivers,7234973,SS,tropical,0.7
Jigawa,6979080,NW,sahel,0.38
Niger,6720617,NC,savanna,0.5
Benue,6687706,NC,savanna,0.52
Borno,6651590,NE,sahel,0.34
Ogun,6445275,SW,tropical,0.71
Sokoto,6163187,NW,sahel,0.4
Delta,6107543,SS,tropical,0.69
Imo,6067722,SE,tropical,0.72
Kebbi,6001610,NW,sahel,0.39
Akwa Ibom,5780581,SS,tropical,0.68
Edo,5527810,SS,tropical,0.7
Ondo,5469707,SW,tropical,0.68
Zamfara,5517793,NW,sahel,0.36
Plateau,5400974,NC,savanna,0.55
Enugu,5396098,SE,tropical,0.71
Adamawa,5236948,NE,savanna,0.44
Kogi,5053734,NC,savanna,0.53
Abia,4841943,SE,tropical,0.7
FCT,4802443,NC,savanna,0.88
Gombe,4623462,NE,sahel,0.45
Yobe,4350401,NE,sahel,0.33
Taraba,4331885,NE,savanna,0.41
Kwara,4259613,NC,savanna,0.58
Osun,4237396,SW,tropical,0.7
Cross River,4175020,SS,tropical,0.66
Ebonyi,4007155,SE,tropical,0.64
Nasarawa,3632239,NC,savanna,0.54
Ekiti,3398177,SW,tropical,0.69
Bayelsa,2394725,SS,tropical,0.6
