season,epi_week_of_season,week_start,cases,hospitalizations,deaths,population,cases_per_100k,hospitalizations_per_100k,deaths_per_100k,state
2023/2024,1,2023-07-03,144872,2132,201,229501935,63.125,0.929,0.088,NATIONAL
2023/2024,2,2023-07-10,36735,538,55,229501935,16.006,0.234,0.024,NATIONAL
2023/2024,3,2023-07-17,35672,515,46,229501935,15.543,0.224,0.02,NATIONAL
2023/2024,4,2023-07-24,35886,555,51,229501935,15.636,0.242,0.022,NATIONAL
2023/2024,5,2023-07-31,35187,536,59,229501935,15.332,0.234,0.026,NATIONAL
2023/2024,6,2023-08-07,38811,591,46,229501935,16.911,0.258,0.02,NATIONAL
2023/2024,7,2023-08-14,41253,676,73,229501935,17.975,0.295,0.032,NATIONAL
2023/2024,8,2023-08-21,58221,828,70,229501935,25.368,0.361,0.031,NATIONAL
2023/2024,9,2023-08-28,86008,1456,122,229501935,37.476,0.634,0.053,NATIONAL
2023/2024,10,2023-09-04,172520,2755,211,229501935,75.171,1.2,0.092,NATIONAL
2023/2024,11,2023-09-11,422020,7110,515,229501935,183.885,3.098,0.224,NATIONAL
2023/2024,12,2023-09-18,1028470,15690,1170,229501935,448.131,6.837,0.51,NATIONAL
2023/2024,13,2023-09-25,1913474,31757,2380,229501935,833.751,13.837,1.037,NATIONAL
2023/2024,14,2023-10-02,2650704,45731,3272,229501935,1154.981,19.926,1.426,NATIONAL
2023/2024,15,2023-10-09,2418316,41152,3788,229501935,1053.724,17.931,1.651,NATIONAL
2023/2024,16,2023-10-16,2397804,33278,3385,229501935,1044.786,14.5,1.475,NATIONAL
2023/2024,17,2023-10-23,1113412,18852,2389,229501935,485.143,8.214,1.041,NATIONAL
2023/2024,18,2023-10-30,772092,10611,1110,229501935,336.421,4.623,0.484,NATIONAL
2023/2024,19,2023-11-06,293943,2922,480,229501935,128.079,1.273,0.209,NATIONAL
2023/2024,20,2023-11-13,82928,1199,159,229501935,36.134,0.522,0.069,NATIONAL
2023/2024,21,2023-11-20,63531,935,105,229501935,27.682,0.407,0.046,NATIONAL
2023/2024,22,2023-11-27,90341,1315,144,229501935,39.364,0.573,0.063,NATIONAL
2023/2024,23,2023-12-04,133802,1926,216,229501935,58.301,0.839,0.094,NATIONAL
2023/2024,24,2023-12-11,195031,3187,306,229501935,84.98,1.389,0.133,NATIONAL
2023/2024,25,2023-12-18,360087,5343,532,229501935,156.899,2.328,0.232,NATIONAL
2023/2024,26,2023-12-25,445655,6888,673,229501935,194.184,3.001,0.293,NATIONAL
2023/2024,27,2024-01-01,573265,7914,718,229501935,249.787,3.448,0.313,NATIONAL
2023/2024,28,2024-01-08,416696,5835,577,229501935,181.565,2.542,0.251,NATIONAL
2023/2024,29,2024-01-15,199480,2791,248,229501935,86.919,1.216,0.108,NATIONAL
2023/2024,30,2024-01-22,86023,1282,117,229501935,37.482,0.559,0.051,NATIONAL
2023/2024,31,2024-01-29,47390,685,72,229501935,20.649,0.298,0.031,NATIONAL
2023/2024,32,2024-02-05,42475,565,62,229501935,18.507,0.246,0.027,NATIONAL
2023/2024,33,2024-02-12,35686,536,62,229501935,15.549,0.234,0.027,NATIONAL
2023/2024,34,2024-02-19,34941,481,57,229501935,15.225,0.21,0.025,NATIONAL
2023/2024,35,2024-02-26,31274,454,43,229501935,13.627,0.198,0.019,NATIONAL
2023/2024,36,2024-03-04,34537,491,53,229501935,15.049,0.214,0.023,NATIONAL
2023/2024,37,2024-03-11,33313,452,62,229501935,14.515,0.197,0.027,NATIONAL
2023/2024,38,2024-03-18,34273,501,55,229501935,14.934,0.218,0.024,NATIONAL
2023/2024,39,2024-03-25,33666,477,51,229501935,14.669,0.208,0.022,NATIONAL
2023/2024,40,2024-04-01,33949,576,66,229501935,14.792,0.251,0.029,NATIONAL
2023/2024,41,2024-04-08,35690,492,62,229501935,15.551,0.214,0.027,NATIONAL
2023/2024,42,2024-04-15,36402,493,67,229501935,15.861,0.215,0.029,NATIONAL
2023/2024,43,2024-04-22,35480,470,55,229501935,15.46,0.205,0.024,NATIONAL
2023/2024,44,2024-04-29,33037,454,70,229501935,14.395,0.198,0.031,NATIONAL
2023/2024,45,2024-05-06,33014,524,60,229501935,14.385,0.228,0.026,NATIONAL
2023/2024,46,2024-05-13,32099,591,36,229501935,13.986,0.258,0.016,NATIONAL
2023/2024,47,2024-05-20,32658,462,38,229501935,14.23,0.201,0.017,NATIONAL
2023/2024,48,2024-05-27,35691,508,67,229501935,15.552,0.221,0.029,NATIONAL
2023/2024,49,2024-06-03,36282,486,48,229501935,15.809,0.212,0.021,NATIONAL
2023/2024,50,2024-06-10,33086,565,42,229501935,14.416,0.246,0.018,NATIONAL
2023/2024,51,2024-06-17,33649,516,60,229501935,14.662,0.225,0.026,NATIONAL
2023/2024,52,2024-06-24,34304,508,37,229501935,14.947,0.221,0.016,NATIONAL
2024/2025,1,2024-07-01,34774,476,48,229501935,15.152,0.207,0.021,NATIONAL
2024/2025,2,2024-07-08,9141,122,11,229501935,3.983,0.053,0.005,NATIONAL
2024/2025,3,2024-07-15,8447,124,9,229501935,3.681,0.054,0.004,NATIONAL
2024/2025,4,2024-07-22,8903,123,12,229501935,3.879,0.054,0.005,NATIONAL
2024/2025,5,2024-07-29,9122,134,14,229501935,3.975,0.058,0.006,NATIONAL
2024/2025,6,2024-08-05,9252,124,7,229501935,4.031,0.054,0.003,NATIONAL
2024/2025,7,2024-08-12,9370,179,17,229501935,4.083,0.078,0.007,NATIONAL
2024/2025,8,2024-08-19,11942,190,17,229501935,5.203,0.083,0.007,NATIONAL
2024/2025,9,2024-08-26,18182,325,21,229501935,7.922,0.142,0.009,NATIONAL
2024/2025,10,2024-09-02,36584,646,49,229501935,15.941,0.281,0.021,NATIONAL
2024/2025,11,2024-09-09,98648,1601,128,229501935,42.984,0.698,0.056,NATIONAL
2024/2025,12,2024-09-16,327119,4759,406,229501935,142.534,2.074,0.177,NATIONAL
2024/2025,13,2024-09-23,932286,16752,1135,229501935,406.221,7.299,0.495,NATIONAL
