level,group,target,week,mean,p05,p25,p50,p75,p95
national,Nigeria,cases,1,58657.16031785951,16934.807910316038,22370.98383821792,37682.14117378966,81362.83894965993,154873.88204086665
national,Nigeria,hospitalizations,1,906.4757302798977,244.31122619068202,334.0324584271603,574.600408593012,1215.7025861127681,2512.109278839403
national,Nigeria,deaths,1,81.45806306673892,20.287261008715706,24.651937141000122,50.2351408104893,101.63587166237382,251.34116465668583
national,Nigeria,cases,2,53805.93640009097,15260.48768869286,20157.292740542856,34606.92401742132,73782.16178340976,145070.14480138052
national,Nigeria,hospitalizations,2,815.7877848531022,209.18919384492972,286.6032454716886,516.2058697897678,1112.9612325734813,2273.265244984637
national,Nigeria,deaths,2,78.86329748033025,19.13446136245264,24.792496255617984,46.57796096699808,96.43680139190697,246.04463083563405
national,Nigeria,cases,3,45886.0850622395,12882.734772948957,17050.016422590972,29247.812347133047,63580.61231597756,117832.12835273822
national,Nigeria,hospitalizations,3,653.816027874924,157.08631344864133,215.7872673954393,419.88639337979134,908.4459145350716,1817.9770044043726
national,Nigeria,deaths,3,73.39658646929011,17.976528330155034,22.986237603154205,40.08277287293308,88.91443248345065,239.31632733393874
national,Nigeria,cases,4,39675.84157032962,11525.415814881888,15168.183647803628,25204.104657754702,55570.16443913782,104608.49861472582
national,Nigeria,hospitalizations,4,561.6999563273466,136.9675750593096,186.6122993517135,354.801703647547,758.4078704383317,1540.0184705921333
national,Nigeria,deaths,4,64.79468559946352,15.961300108027869,17.545834399863672,35.82457172586652,82.73328883124972,193.8589010871596
national,Nigeria,cases,5,36443.07362653654,8587.625873271814,12320.6141853392,23826.544109030358,51469.71639688361,98221.06916722978
national,Nigeria,hospitalizations,5,544.0425481796752,142.24954462899342,181.8723925107795,340.93284583841813,757.2868626730767,1503.135032583594
national,Nigeria,deaths,5,59.92025769194966,15.639672671029722,17.046305926172675,32.607247611700814,71.8578144090959,189.05494850044886
national,Nigeria,cases,6,38151.902774221235,9718.857494827058,13387.413708495156,24766.423012359985,53386.33181660496,101374.80361362813
national,Nigeria,hospitalizations,6,575.2267152965713,151.77634638852126,205.5247764713603,364.84733582119435,762.8561631575967,1568.3136275599265
national,Nigeria,deaths,6,60.90005427737212,16.6183070521535,17.27835664888059,32.33663591781371,74.45107316716809,197.51097594627055
national,Nigeria,cases,7,42634.34177029529,11152.112821153296,15309.713637000355,27835.10630025476,60519.29224479647,112220.91466465934
national,Nigeria,hospitalizations,7,644.8769368228176,153.91938522907355,220.21993377250348,417.9969958544774,878.8195816931334,1782.786714796403
national,Nigeria,deaths,7,66.32580601996995,19.28767697530822,19.86351874649049,35.66467412018151,79.37909487471421,216.30395982430804
national,Nigeria,cases,8,55612.42653760025,15902.728573438242,20946.364660353305,35176.74672891999,76796.6286712258,152502.95534764076
national,Nigeria,hospitalizations,8,810.8810583697853,190.61509410466462,275.98688923298863,531.6980774229281,1125.8461063503437,2165.3980468961963
national,Nigeria,deaths,8,77.22665193948157,22.24557062538404,24.60364590823597,45.15987539788422,91.57372097680454,223.54699860118177
national,Nigeria,cases,9,81436.02369527743,22976.204439021014,30754.056549006662,52349.71314082372,111631.29745217615,217760.33440000447
national,Nigeria,hospitalizations,9,1208.3994581863549,303.9792946633463,438.6670511674491,782.6461303481351,1614.1533954376353,3350.517990336912
national,Nigeria,deaths,9,105.33133455233781,28.17909129404636,33.345587706984496,67.79268552542865,130.50905175398572,295.8530395474068
national,Nigeria,cases,10,138912.24458170458,34324.2178222028,48196.02176308202,90035.7802886713,193009.75303250877,374758.8507973817
national,Nigeria,hospitalizations,10,2069.149166419562,540.6000021265678,762.2034203642514,1329.0387848398227,2803.314003219959,5573.4179849231705
national,Nigeria,deaths,10,166.44259774681495,42.18614489453898,63.29373372813064,116.26527390436681,206.54296331431152,441.56295528841866
national,Nigeria,cases,11,285905.07965443184,72390.61179505938,101926.71698675436,190338.17358326016,402614.62414275843,765624.3587972923
national,Nigeria,hospitalizations,11,4364.540693692966,1314.162597902815,1757.45361947818,2876.68385566282,5976.748966275598,11396.95456133385
national,Nigeria,deaths,11,291.35267970674386,63.925531470855844,117.86162491069788,215.56918310434173,368.0651417088296,768.1737882678825
national,Nigeria,cases,12,863243.3952153964,238441.20233256638,320875.7171531493,553658.6690345209,1195545.871466135,2238641.3590511475
national,Nigeria,hospitalizations,12,11893.52601746255,3473.9337211753623,4708.583991821263,7763.23953365739,15892.34094109799,32029.925106488896
national,Nigeria,deaths,12,760.3406554169293,198.0493215697968,349.053278747999,563.0995149288531,928.911400443651,1851.488692225048
national,Nigeria,cases,13,2095803.7574220146,480927.4134594663,703291.9040160282,1350980.825539404,2949967.384950132,5776168.033151255
national,Nigeria,hospitalizations,13,27771.550869075865,7811.778912775235,10609.24097867684,18087.161543035116,38453.106979680786,74028.46943963315
national,Nigeria,deaths,13,1907.1757114228913,533.8789226364779,876.8944750829899,1418.6029847102552,2234.901739127584,5021.847055096475
national,Nigeria,cases,14,3626403.3786903988,1050404.4141443684,1400231.1259096758,2257263.5436869916,5099098.970333755,9587350.45908376
national,Nigeria,hospitalizations,14,46223.1715894537,11513.695806377002,16880.79537632701,30436.817408907336,63809.94059598526,127060.81345871113
national,Nigeria,deaths,14,3313.561050969423,921.2347171264557,1567.0829393233003,2473.985379827841,4040.3357158233875,8735.066202474329
national,Nigeria,cases,15,4635608.1177042825,1227167.569139365,1698508.7916749485,3019035.3911117213,6376131.324884795,12325155.29758431
national,Nigeria,hospitalizations,15,63198.520051760126,17365.54956493823,24111.837409187374,41743.69633609893,85427.85649772483,170539.2763406461
national,Nigeria,deaths,15,4749.3726912497195,1296.9306401329,2215.630979071062,3545.0710966041024,5706.435153193813,12364.495002375224
national,Nigeria,cases,16,5332314.349587263,1327752.0941033666,1858030.7979138866,3404299.961903398,7400338.773388303,14397336.494961409
national,Nigeria,hospitalizations,16,73346.19882762662,20117.02498511329,28111.777060631848,48558.68144390169,102136.983783033,191625.1895057571
national,Nigeria,deaths,16,5793.675285673521,1647.3237409217736,2677.9321285676942,4312.003063071527,6899.637833609859,14419.382706692353
national,Nigeria,cases,17,5193006.821620954,1290595.2872704458,1784035.6446641642,3288887.625975139,7286202.904114216,13715441.636964884
national,Nigeria,hospitalizations,17,72644.7580754961,21299.014651941234,28636.612079291895,47897.547869005124,100263.96263085592,191303.9459598991
national,Nigeria,deaths,17,6009.115442019594,1713.3352119348278,2780.371657283868,4541.376161086242,7221.397972998348,15455.5029893525
national,Nigeria,cases,18,4384025.302347948,1198065.8313462331,1641303.7009817716,2810280.316148324,6152986.949777194,11406364.384080306
national,Nigeria,hospitalizations,18,61976.595625189584,17644.435673020413,24523.065325089858,40725.44411601723,85358.97704030537,156576.0943151759
national,Nigeria,deaths,18,5552.173772752673,1559.177776370802,2551.006607697916,4180.45064185549,6581.389041281762,14584.635981701327
national,Nigeria,cases,19,3281559.390774475,977595.2439214204,1266594.9463011823,2104771.055646989,4388878.401808353,8892363.6347985
national,Nigeria,hospitalizations,19,44255.0219611417,11734.78673561915,16566.90204847177,29276.267860607208,60963.49804772482,119612.49352242477
national,Nigeria,deaths,19,4597.0837625387485,1178.0466113807322,2068.408080969407,3388.7403035834277,5525.654728503679,12176.300962004341
national,Nigeria,cases,20,2083796.3865428772,543765.3119111438,745567.1247371051,1351203.402544111,2882955.598048494,5562166.248687302
national,Nigeria,hospitalizations,20,25881.223894812258,7620.024467968227,10391.330989456992,17014.351019432186,34320.775844275195,69199.36325796037
national,Nigeria,deaths,20,3182.07674834855,849.5255527754802,1466.9140883839732,2379.493437643283,3832.6432519422815,8238.56764359395
national,Nigeria,cases,21,1055531.8049440861,290239.1283535642,392840.73422208056,682353.0844862768,1454279.5173434052,2925587.920988138
national,Nigeria,hospitalizations,21,8742.81975391089,2369.2889644944344,3319.917024041976,5785.028335469623,11915.911970376656,23508.90738700736
national,Nigeria,deaths,21,1864.1392531962715,519.5707474901708,875.2390115126545,1405.6063205325647,2241.2733086786625,4885.057579166852
national,Nigeria,cases,22,415986.81529821985,118688.79048050706,157061.06096774313,266778.11161952605,580655.3120277437,1083022.2058596155
national,Nigeria,hospitalizations,22,3633.6288204362713,923.4567224420074,1331.0691877839965,2360.097161548248,5039.588110279248,9768.179477624206
national,Nigeria,deaths,22,817.4842897426324,232.266545731114,378.5282394886731,612.2863303248492,990.2685524196056,2046.9285195465468
national,Nigeria,cases,23,279521.479132625,75854.73053634621,102589.35444085368,182293.33582442446,378776.36467615276,761853.1241293071
national,Nigeria,hospitalizations,23,3570.417651048608,945.9389576397531,1332.3241074284092,2321.1470626468035,4838.304060469371,9664.511858108859
national,Nigeria,deaths,23,412.4493671825307,105.16583260571923,178.05400987399616,298.2320050674393,487.71386422219206,1113.9651999710281
national,Nigeria,cases,24,406940.2271478709,116417.26198539419,155854.46496309392,261023.98607834848,563700.1516377439,1061479.2924714815
national,Nigeria,hospitalizations,24,5737.00966611078,1578.1184638387622,2219.242108527432,3713.1557615066267,7723.212699605932,15379.922062244237
national,Nigeria,deaths,24,475.0158140117099,112.81849693226724,208.27973249613927,351.13399398565724,581.9775087617634,1245.2878200436492
national,Nigeria,cases,25,661913.9068063942,188805.2477329001,251192.31039297447,421251.1831830574,923138.3954764436,1752740.471690935
national,Nigeria,hospitalizations,25,9430.485260456837,2358.0163583345316,3407.058638199658,6235.95966568312,13251.27753706105,25120.189275681354
national,Nigeria,deaths,25,793.2985531340331,222.1637908764514,370.24121795516794,591.5025019287277,931.4978394750656,2029.2343247084832
national,Nigeria,cases,26,1006815.4894057509,266756.8064932606,365135.07144274097,649927.8582231863,1380208.5297836948,2708013.221747967
national,Nigeria,hospitalizations,26,14473.3377386669,3970.9630593135785,5482.72579530856,9647.818327957822,19800.08641357754,39538.72213263888
national,Nigeria,deaths,26,1221.5421050912953,331.26242825868485,570.3045043226529,928.7747846350321,1503.7271527701373,3015.4495408400076
national,Nigeria,cases,27,1374597.8238948986,383240.0627035126,512299.800528076,884955.4052315202,1887850.3705385928,3577450.1772969696
national,Nigeria,hospitalizations,27,19930.93690920644,5319.514488859843,7583.498852893779,12997.536569491454,27499.48525985921,53389.619971245156
national,Nigeria,deaths,27,1734.1848524898276,508.80178847772254,818.6260664500294,1288.411156493938,2110.759852575582,4414.215026382806
national,Nigeria,cases,28,1615682.0959517318,477345.0587938327,634804.4009931398,1053553.929944267,2256970.232318673,4186042.288527733
