level,group,target,population,cumulative_mean,cumulative_p50,cumulative_p95,peak_week_mode,peak_value_p50,attack_rate_per_100k_p50
national,Nigeria,cases,229501935,47720496.10608211,46199107.80394457,68400962.3638364,16,9235227.187909406,20130.16047291478
national,Nigeria,hospitalizations,229501935,643408.8617410015,627441.0344827326,899110.450605993,16,126250.53941036659,
national,Nigeria,deaths,229501935,58093.42805358297,55707.12076953641,83036.6367222368,17,9990.767418115965,
region,North,cases,127832161,27940318.66012307,26783320.68020907,40810901.615517534,18,5626066.028674572,20951.942352135524
region,North,hospitalizations,127832161,349744.9972028632,340105.40079781617,493568.5870308608,18,73051.90950523232,
region,North,deaths,127832161,38589.3003154618,36869.44329464413,55409.91506257202,18,6813.01433274868,
region,South,cases,101669774,19780177.445959046,18883333.10630351,30359263.68527345,15,4898334.6701887585,18573.202598348955
region,South,hospitalizations,101669774,293663.8645381383,282754.0005564668,432155.9468385651,15,70127.36645412043,
region,South,deaths,101669774,19504.127738121177,18418.627977171243,29736.376319700026,15,4207.500100250538,
state,Kano,cases,16253549,3203329.585980824,3070888.3096103673,4725142.102662944,19,666944.6232266657,18893.647840298556
state,Kano,hospitalizations,16253549,42986.11989842126,41777.67107997179,61009.11889659199,18,9305.36996099215,
state,Kano,deaths,16253549,4086.9402196772758,3846.451729812109,6209.063850204974,19,858.8748274398185,
state,Lagos,cases,15772884,3238359.270380805,3079419.6081736535,4969853.50888969,15,861493.1170096855,19523.503806746146
state,Lagos,hospitalizations,15772884,42932.37924831599,41440.30962548917,62879.79499054806,17,10202.799396703977,
state,Lagos,deaths,15772884,1547.5655996438054,1473.439722545078,2312.4885602620584,17,315.41053561168445,
state,Katsina,cases,9300382,2258224.3258002102,2152467.470020619,3385804.717479416,18,515762.6133576132,23143.860865291546
state,Katsina,hospitalizations,9300382,24156.51544575109,23272.44886124043,34630.074393084295,19,5217.187345084938,
state,Katsina,deaths,9300382,2719.341470681529,2577.3740107834956,4080.7495539532347,19,538.381909219126,
state,Kaduna,cases,8324285,1950677.8685935752,1856486.819751513,2998804.135774106,17,472586.85288552684,22302.05741095497
state,Kaduna,hospitalizations,8324285,22653.101155672328,21976.270183921864,32524.774959259008,17,5030.148269519857,
state,Kaduna,deaths,8324285,2187.978085029936,2083.7240901584173,3268.560484791572,16,433.74642742361675,
state,Bauchi,cases,7540663,1838073.425774449,1751210.8870460624,2821961.265537405,18,442372.7021642631,23223.566509285225
state,Bauchi,hospitalizations,7540663,22735.14285668014,21786.987640308434,33538.12802660038,18,5466.9968543265895,
state,Bauchi,deaths,7540663,2493.965190317818,2357.436839617476,3772.1416161313377,19,519.3280962843662,
state,Oyo,cases,7512855,1061341.7706460685,1013242.6369970245,1601451.768780777,15,262532.6357424075,13486.785476320581
state,Oyo,hospitalizations,7512855,23645.096931440552,22632.211436684658,35894.130012064954,15,6139.883334534547,
state,Oyo,deaths,7512855,1079.3034063722284,1012.7750825112245,1673.9924012833485,15,245.84000379633932,
state,Anambra,cases,7299910,1279347.7406180073,1218094.5858189026,1976727.123207988,14,322195.7857195869,16686.43292614433
state,Anambra,hospitalizations,7299910,18489.512481000136,17808.006030819466,27458.29028218453,15,4548.544058794908,
state,Anambra,deaths,7299910,1980.5877482706032,1865.5435540422463,3118.937567609761,15,454.5687159054731,
state,Rivers,cases,7234973,1191740.7577605466,1131785.410571327,1858805.6014579406,15,309572.94246530527,15643.256865938918
state,Rivers,hospitalizations,7234973,19198.693177973848,18373.348088985913,28459.525134929838,14,4738.713153514154,
state,Rivers,deaths,7234973,1320.991867463494,1237.231546770964,2065.147061104206,15,304.3746942890193,
state,Jigawa,cases,6979080,1708325.2502952744,1629780.843338788,2595732.275949135,21,390850.00343237875,23352.373713136803
state,Jigawa,hospitalizations,6979080,17769.21240981856,17262.61956236993,25372.64139171485,17,3859.3583822353894,
state,Jigawa,deaths,6979080,2226.5929420152984,2097.2435554124536,3309.780330867509,18,468.6356636662105,
state,Niger,cases,6720617,1586551.8035346642,1515735.3109106394,2450111.651586935,17,380857.3262840258,22553.514222141202
state,Niger,hospitalizations,6720617,14488.187864186059,14062.08334989949,20856.032567557093,18,3252.0012323343403,
state,Niger,deaths,6720617,1971.3288959676863,1864.114742039952,2886.612130498385,18,405.2608698914894,
state,Benue,cases,6687706,1192760.649926884,1140120.8975617606,1823967.5288198276,17,279772.7528593524,17048.01164348075
state,Benue,hospitalizations,6687706,14579.663835173073,14103.19085902218,20878.428135754144,17,3216.035311202698,
state,Benue,deaths,6687706,1405.0738309686653,1339.5713939399077,2062.2223887562873,16,271.46966496323694,
state,Borno,cases,6651590,1491119.8873732623,1420352.3760408764,2258113.250873342,19,341618.70924573205,21353.57675444332
state,Borno,hospitalizations,6651590,17529.3157445599,16941.679090574384,24934.004014284696,20,3740.7224233390816,
state,Borno,deaths,6651590,2665.4133107823623,2509.5656637895318,4096.055048888607,18,572.5886995398607,
state,Ogun,cases,6445275,1384788.846119754,1318238.5992580566,2111887.6968465443,15,361456.2005499971,20452.79059866424
state,Ogun,hospitalizations,6445275,16885.816237009883,16255.55290085662,25163.61857848335,15,4210.770334283765,
state,Ogun,deaths,6445275,1426.5307982306406,1343.034842784688,2208.275397461414,15,316.1980409370514,
state,Sokoto,cases,6163187,1363993.9742618953,1302924.2560976725,2009937.2200992617,19,287890.2595667201,21140.430366589113
state,Sokoto,hospitalizations,6163187,16718.601969878044,16146.510524079546,23893.808149457538,19,3665.740564192679,
state,Sokoto,deaths,6163187,2192.0542458761965,2090.0458873288826,3208.5413606758184,20,421.59580401673134,
state,Delta,cases,6107543,1287866.946424602,1224369.5661175456,2008830.8077394178,15,333695.5115286134,20046.843159639575
state,Delta,hospitalizations,6107543,17328.027188870437,16711.645734971236,25395.123726809165,16,4032.3255443145913,
state,Delta,deaths,6107543,1076.581197991022,1019.6567507122484,1637.3616899178853,16,230.83924543271874,
state,Imo,cases,6067722,1608891.3786363283,1529769.80635702,2543976.696556915,15,431906.5492901914,25211.60010885502
state,Imo,hospitalizations,6067722,21289.42384367352,20403.308406232896,31984.879885387447,15,5342.945756887414,
state,Imo,deaths,6067722,1413.9976431854939,1340.4627503832012,2160.6778125432966,17,306.00702154165566,
state,Kebbi,cases,6001610,1407374.8941078857,1336718.9184750651,2137533.7883733497,18,328582.0535825216,22272.67214089328
state,Kebbi,hospitalizations,6001610,17086.41040744895,16492.106131368928,24697.907452592488,19,3938.9800254101656,
state,Kebbi,deaths,6001610,2341.8510953566756,2221.367514845262,3542.461992989212,20,471.79881521313916,
state,Akwa Ibom,cases,5780581,954724.8616955398,909611.5176422978,1465237.5480769584,14,246419.65003818343,15735.641757157242
state,Akwa Ibom,hospitalizations,5780581,17981.73998636965,17288.029877639106,27012.987237741876,15,4492.680503012053,
state,Akwa Ibom,deaths,5780581,1459.2149836325757,1363.1600485250246,2296.280495012208,17,350.9817071690718,
state,Edo,cases,5527810,1133164.8245671007,1078763.608634958,1726576.6790314615,16,284536.4551214251,19515.207806255243
state,Edo,hospitalizations,5527810,13463.276828594218,12938.854843245106,20033.90839084672,15,3277.9187289836873,
state,Edo,deaths,5527810,1333.6761727607602,1256.3977213747446,2096.644974048332,17,309.7153859788035,
state,Ondo,cases,5469707,983500.5984796251,941621.9198215909,1513304.6941684322,17,240526.09117084616,17215.216826451415
state,Ondo,hospitalizations,5469707,19987.40732629956,19194.21300750591,30147.859301807435,16,5122.14234662548,
state,Ondo,deaths,5469707,945.3876421009461,891.8929022459132,1457.5675938664497,15,204.5207298245047,
state,Zamfara,cases,5517793,1057584.4903938556,1017873.6244026978,1556789.9343856082,17,224282.26172651956,18447.115076674636
state,Zamfara,hospitalizations,5517793,14656.512123919903,14161.722303527647,20853.847416142533,19,3135.31953215588,
state,Zamfara,deaths,5517793,2268.123009968855,2138.538816816278,3499.2834239097474,19,488.62330757642184,
state,Plateau,cases,5400974,1017531.8933950246,971186.7189009951,1558287.4007064328,17,242048.03950731672,17981.69587376268
state,Plateau,hospitalizations,5400974,15029.49813414823,14572.32719388677,21681.080285437096,17,3398.8442188873832,
state,Plateau,deaths,5400974,1366.833629075449,1292.0523850498012,2032.609890491484,18,279.9880791694002,
state,Enugu,cases,5396098,848862.9654573717,814252.7961938947,1290009.457625507,17,193903.52270424317,15089.659161006613
state,Enugu,hospitalizations,5396098,15167.44161452328,14589.850636963976,22614.13517007821,15,3774.927097992824,
state,Enugu,deaths,5396098,898.1220320525225,842.8017861713779,1375.5677494474924,15,199.0840180088291,
state,Adamawa,cases,5236948,1186908.9322062493,1134305.4631367098,1823120.5572321978,17,284317.99564559234,21659.666338804775
state,Adamawa,hospitalizations,5236948,17025.408035545875,16386.94584543968,24933.42635934174,16,3955.4602436303658,
state,Adamawa,deaths,5236948,1519.4557807868966,1441.9305024042465,2276.6370767205867,16,315.19496694354314,
state,Kogi,cases,5053734,1174643.3423963317,1115611.6152849565,1857317.482205969,17,309224.039299331,22074.996730832223
