fold,state,target,n,MAE,RMSE,bias
2024/2025,Kano,cases,52,33778.82281610006,76037.57789021729,-20875.478028022175
2024/2025,Kano,hospitalizations,52,314.57282159226247,585.8670588018841,-167.11333004322387
2024/2025,Kano,deaths,52,45.6155275270477,87.94295974305264,-21.58928887936979
2024/2025,Lagos,cases,52,19339.826854149273,36786.307818066394,-6313.805586583999
2024/2025,Lagos,hospitalizations,52,642.6958797632137,1490.1062220566535,-312.874024997978
2024/2025,Lagos,deaths,52,20.92960867392767,46.27266482332623,-8.3319295627101
2024/2025,Katsina,cases,52,21236.17310023127,43115.087249650474,-7303.84629839718
2024/2025,Katsina,hospitalizations,52,185.40489140236707,409.6191328253303,-123.66223417277426
2024/2025,Katsina,deaths,52,26.423195370172444,61.128929122337645,-17.97047340050349
2024/2025,Kaduna,cases,52,18848.990676272104,42524.41594660391,-12645.7680380182
2024/2025,Kaduna,hospitalizations,52,192.34152436147681,371.52822012222276,-73.87816481134169
2024/2025,Kaduna,deaths,52,18.104853326928065,38.625364495222044,-10.306828439291813
2024/2025,Bauchi,cases,52,15159.932630504927,33979.441331920396,-10362.810149380237
2024/2025,Bauchi,hospitalizations,52,151.83185805167662,339.25701970351895,-88.26943554585036
2024/2025,Bauchi,deaths,52,25.628004808038,58.5209634179759,-12.860532432012812
2024/2025,Oyo,cases,52,20859.983805435502,62487.27802137586,-13850.919547187115
2024/2025,Oyo,hospitalizations,52,250.67469751011092,642.8362675832881,-72.99209943763152
2024/2025,Oyo,deaths,52,18.208613478347353,41.03169304331019,-7.066138996223682
2024/2025,Anambra,cases,52,12876.559249760834,28807.76684675197,-4552.409053877934
2024/2025,Anambra,hospitalizations,52,241.07816265874845,577.2826855310587,-101.7743934408216
2024/2025,Anambra,deaths,52,12.648573094598834,21.12002492761853,0.7144828503073715
2024/2025,Rivers,cases,52,16127.381484876187,42286.35290053853,-7104.638822550544
2024/2025,Rivers,hospitalizations,52,202.889582544602,425.40941607595767,-55.91055800814393
2024/2025,Rivers,deaths,52,16.89639999783598,41.700051139094576,-6.978152339786982
2024/2025,Jigawa,cases,52,17011.352754889213,37081.77647043805,-10148.766803098573
2024/2025,Jigawa,hospitalizations,52,149.7716474662089,339.27922755862517,-80.76315818229934
2024/2025,Jigawa,deaths,52,21.48571526152782,45.313198396385985,-12.456262850174792
