season,state,zone,climate,population,epi_week_of_season,week_start,iso_year,iso_week,cases,hospitalizations,deaths,cases_per_100k,hosp_per_100k,deaths_per_100k
2023/2024,Kano,NW,sahel,16253549,1,2023-07-03,2023,27,4910,79,13,30.209,0.486,0.08
2023/2024,Kano,NW,sahel,16253549,2,2023-07-10,2023,28,3834,36,5,23.589,0.221,0.031
2023/2024,Kano,NW,sahel,16253549,3,2023-07-17,2023,29,2882,40,5,17.732,0.246,0.031
2023/2024,Kano,NW,sahel,16253549,4,2023-07-24,2023,30,3245,26,2,19.965,0.16,0.012
2023/2024,Kano,NW,sahel,16253549,5,2023-07-31,2023,31,3009,38,7,18.513,0.234,0.043
2023/2024,Kano,NW,sahel,16253549,6,2023-08-07,2023,32,2941,37,3,18.095,0.228,0.018
2023/2024,Kano,NW,sahel,16253549,7,2023-08-14,2023,33,2593,33,11,15.953,0.203,0.068
2023/2024,Kano,NW,sahel,16253549,8,2023-08-21,2023,34,2393,73,4,14.723,0.449,0.025
2023/2024,Kano,NW,sahel,16253549,9,2023-08-28,2023,35,4670,105,8,28.732,0.646,0.049
2023/2024,Kano,NW,sahel,16253549,10,2023-09-04,2023,36,3790,54,6,23.318,0.332,0.037
2023/2024,Kano,NW,sahel,16253549,11,2023-09-11,2023,37,6492,85,16,39.942,0.523,0.098
2023/2024,Kano,NW,sahel,16253549,12,2023-09-18,2023,38,13241,217,16,81.465,1.335,0.098
2023/2024,Kano,NW,sahel,16253549,13,2023-09-25,2023,39,48199,208,39,296.544,1.28,0.24
2023/2024,Kano,NW,sahel,16253549,14,2023-10-02,2023,40,73345,994,81,451.255,6.116,0.498
2023/2024,Kano,NW,sahel,16253549,15,2023-10-09,2023,41,118825,1229,184,731.071,7.561,1.132
2023/2024,Kano,NW,sahel,16253549,16,2023-10-16,2023,42,155414,4169,353,956.185,25.65,2.172
2023/2024,Kano,NW,sahel,16253549,17,2023-10-23,2023,43,121118,2398,301,745.179,14.754,1.852
2023/2024,Kano,NW,sahel,16253549,18,2023-10-30,2023,44,130404,2368,179,802.311,14.569,1.101
2023/2024,Kano,NW,sahel,16253549,19,2023-11-06,2023,45,37421,427,92,230.233,2.627,0.566
2023/2024,Kano,NW,sahel,16253549,20,2023-11-13,2023,46,10900,201,18,67.062,1.237,0.111
2023/2024,Kano,NW,sahel,16253549,21,2023-11-20,2023,47,5617,65,13,34.559,0.4,0.08
2023/2024,Kano,NW,sahel,16253549,22,2023-11-27,2023,48,5415,125,13,33.316,0.769,0.08
2023/2024,Kano,NW,sahel,16253549,23,2023-12-04,2023,49,14738,173,33,90.676,1.064,0.203
2023/2024,Kano,NW,sahel,16253549,24,2023-12-11,2023,50,13650,397,35,83.982,2.443,0.215
2023/2024,Kano,NW,sahel,16253549,25,2023-12-18,2023,51,35411,456,43,217.866,2.806,0.265
2023/2024,Kano,NW,sahel,16253549,26,2023-12-25,2023,52,45878,611,51,282.265,3.759,0.314
2023/2024,Kano,NW,sahel,16253549,27,2024-01-01,2024,1,52564,793,67,323.4,4.879,0.412
2023/2024,Kano,NW,sahel,16253549,28,2024-01-08,2024,2,51235,743,28,315.223,4.571,0.172
2023/2024,Kano,NW,sahel,16253549,29,2024-01-15,2024,3,15836,266,24,97.431,1.637,0.148
2023/2024,Kano,NW,sahel,16253549,30,2024-01-22,2024,4,9862,87,12,60.676,0.535,0.074
2023/2024,Kano,NW,sahel,16253549,31,2024-01-29,2024,5,3718,54,8,22.875,0.332,0.049
2023/2024,Kano,NW,sahel,16253549,32,2024-02-05,2024,6,5313,55,10,32.688,0.338,0.062
2023/2024,Kano,NW,sahel,16253549,33,2024-02-12,2024,7,2284,45,7,14.052,0.277,0.043
2023/2024,Kano,NW,sahel,16253549,34,2024-02-19,2024,8,5685,55,7,34.977,0.338,0.043
2023/2024,Kano,NW,sahel,16253549,35,2024-02-26,2024,9,1306,19,1,8.035,0.117,0.006
2023/2024,Kano,NW,sahel,16253549,36,2024-03-04,2024,10,3310,79,8,20.365,0.486,0.049
2023/2024,Kano,NW,sahel,16253549,37,2024-03-11,2024,11,3674,43,7,22.604,0.265,0.043
2023/2024,Kano,NW,sahel,16253549,38,2024-03-18,2024,12,2888,36,3,17.768,0.221,0.018
2023/2024,Kano,NW,sahel,16253549,39,2024-03-25,2024,13,1954,40,1,12.022,0.246,0.006
2023/2024,Kano,NW,sahel,16253549,40,2024-04-01,2024,14,3729,45,8,22.943,0.277,0.049
2023/2024,Kano,NW,sahel,16253549,41,2024-04-08,2024,15,2324,38,9,14.298,0.234,0.055
2023/2024,Kano,NW,sahel,16253549,42,2024-04-15,2024,16,3888,59,5,23.921,0.363,0.031
2023/2024,Kano,NW,sahel,16253549,43,2024-04-22,2024,17,3676,32,9,22.617,0.197,0.055
2023/2024,Kano,NW,sahel,16253549,44,2024-04-29,2024,18,1716,40,12,10.558,0.246,0.074
